0.626	0.425	0.368	0.706	0.510	0.183
0.708	0.476	0.408	0.800	0.574	0.202
0.765	0.513	0.437	0.872	0.628	0.218
0.808	0.541	0.462	0.928	0.671	0.243
0.825	0.566	0.495	0.942	0.694	0.296
0.829	0.599	0.552	0.925	0.705	0.315
0.796	0.628	0.623	0.866	0.706	0.394
0.733	0.648	0.699	0.767	0.696	0.499
0.667	0.670	0.782	0.661	0.683	0.610
0.560	0.652	0.823	0.570	0.671	0.706
0.432	0.595	0.804	0.460	0.635	0.773
0.347	0.548	0.773	0.393	0.609	0.809
0.278	0.477	0.696	0.367	0.578	0.780
0.176	0.340	0.520	0.342	0.516	0.686
0.078	0.200	0.330	0.302	0.428	0.553
0.027	0.114	0.208	0.247	0.338	0.428

